artistName,trackName,total_mins_played,total_streams
Day Wave,Gone,55.33,22
Dayglow,Listerine,65.94,22
Forests,Kawaii Hawaii,45.43,22
Frank Ocean,Pink + White,58.59,22
Glocca Morra,"Irrevocable, Motherfucker",44.67,22
Jay Som,I Think You're Alright,44.46,22
José González,El Invento,53.75,22
Modern Baseball,Play Ball!,32.61,22
Peach Pit,Vickie,56.36,22
PinkPantheress,Last valentines,21.24,22
Rainbow Kitten Surprise,All That and More (Sailboat),40.46,22
Rainbow Kitten Surprise,All's Well That Ends,56.2,22
Sarah Crean,2:00 AM,43.96,22
"Slaughter Beach, Dog",Fell in Love,38.33,22
"Slaughter Beach, Dog",Petersburg,22.77,22
The 1975,Human Too,39.36,22
The 1975,The City,27.73,22
The 1975,UGH!,37.25,22
"Tyler, The Creator",Foreword (feat. Rex Orange County),44.04,22
"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),154.28,22
"Tyler, The Creator",Where This Flower Blooms (feat. Frank Ocean),45.22,22
Bon Iver,Wash.,81.37,21
Dayglow,Hot Rod,56.13,21
Modern Baseball,Pothole,35.29,21
Ritt Momney,Show Runner 99,36.25,21
"Slaughter Beach, Dog",Building The Ark,84.44,21
"Slaughter Beach, Dog",Good Ones,76.02,21
"Slaughter Beach, Dog",Heart Attack,40.93,21
Still Woozy,Get Down,45.2,21
Still Woozy,Goodie Bag,29.07,21
Still Woozy,Rocky,54.99,21
Taylor Swift,Wildest Dreams (Taylor's Version),72.77,21
The 1975,Frail State Of Mind,77.53,21
The 1975,Jesus Christ 2005 God Bless America,33.11,21
The 1975,Love Me,40.17,21
The 1975,Streaming,26.82,21
Turnover,Like Slow Disappearing,66.06,21
Valley Palace,Victory Lap,50.74,21
American Football,Honestly?,70.37,20
Clairo,Harbor,51.67,20
Clairo,Sofia,50.26,20
Dikembe,Scottie Spliffin,37.01,20
Lions and Tigers,Reflections,43.87,20
Maggie Rogers,Give A Little,36.81,20
Maggie Rogers,On + Off,53.8,20
Maggie Rogers,That's Where I Am,62.85,20
Modern Baseball,Everyday,51.82,20
Modern Baseball,Going To Bed Now,46.09,20
Modern Baseball,Just Another Face,64.59,20
Modern Baseball,Your Graduation,37.54,20
Pinegrove,Endless,41.04,20
Pinegrove,Need 2,30.04,20
"Slaughter Beach, Dog",Anything,65.94,20
"Slaughter Beach, Dog",Politics Of Grooming,43.77,20
"Slaughter Beach, Dog",Tangerine,58.38,20
"Slaughter Beach, Dog",The Dogs,40.47,20
Still Woozy,That's Life,44.31,20
Still Woozy,Woof,45.76,20
TUYU,Even tears withered,20.53,20
Tash Sultana,Musk,27.31,20
Taylor Swift,the 1,47.21,20
The 1975,Head.Cars.Bending,41.05,20
The 1975,Undo,54.06,20
"Tyler, The Creator",Pothole (feat. Jaden Smith),61.73,20
Worst Party Ever,Trying Harder,18.26,20
fanclubwallet,Trying to Be Nice,60.65,20
American Football,Uncomfortably Numb (feat. Hayley Williams),64.48,19
Barrie,Geology,83.61,19
Calvin Harris,Obsessed (with Charlie Puth & Shenseea),23.97,19
Clairo,Bambi,60.61,19
Day Wave,PDA,53.43,19
Frank Ocean,Ivy,56.22,19
Modern Baseball,Broken Cash Machine,24.06,19
Modern Baseball,Two Good Things,33.77,19
Neck Deep,A Part of Me,47.08,19
Pasta Sauce,Hangups & Heartaches,15.75,19
Peach Pit,Give Up Baby Go,42.27,19
Phoebe Bridgers,Sidelines,57.15,19
Phoebe Bridgers,Smoke Signals,83.44,19
Pigeons Playing Ping Pong,Horizon,64.86,19
Pinegrove,Size of the Moon,43.73,19
"Slaughter Beach, Dog",Forever,41.17,19
Still Woozy,Drake,48.47,19
Still Woozy,Lava,31.77,19
Taylor Swift,august,60.91,19
The 1975,I Think There's Something You Should Know,64.69,19
The 1975,People,21.22,19
